index,time,rmse,r2,mae,lat,lon,TREFMXAV_U,y_pred,member,year,feature,model
9,10,0.8570054173469543,0.988924328401339,0.6096888184547424,23.865466697557512,131.38001955421123,298.3874,298.3694763183594,17.99992700757009,2061_2070,CAM_surf,xgboost_old
10,11,0.8650747537612915,0.9928430522349587,0.6151286959648132,23.864675855552175,131.38701747927504,294.6161,294.62493896484375,18.000146616392605,2061_2070,CAM_surf,xgboost_old
11,12,0.9234070777893066,0.9942490079809275,0.6314261555671692,23.86421486266208,131.3826239881327,291.4363,291.45635986328125,17.999966729210254,2061_2070,CAM_surf,xgboost_old
0,1,0.9677190184593201,0.9945941346409467,0.6274965405464172,23.86446665115366,131.38892353763788,290.39853,290.3904724121094,17.999631747154226,2061_2070,CAM_surf_loc,xgboost_old
1,2,0.9053554534912109,0.9949174351604139,0.6177187561988831,23.865337528381534,131.38557059136886,291.90912,291.8759765625,17.9995421170927,2061_2070,CAM_surf_loc,xgboost_old
2,3,0.8657988905906677,0.9939451397182012,0.6153558492660522,23.864799395891325,131.3867322313723,294.97955,294.93426513671875,17.99998465041688,2061_2070,CAM_surf_loc,xgboost_old
3,4,0.8672369718551636,0.9907838742820707,0.6203621029853821,23.865404963440692,131.3845748164375,298.28503,298.2864990234375,18.000252539015687,2061_2070,CAM_surf_loc,xgboost_old
4,5,0.8194626569747925,0.9876178865091636,0.5876196026802063,23.864501127164917,131.38542408671734,301.0696,301.0487976074219,17.99993881470627,2061_2070,CAM_surf_loc,xgboost_old
5,6,0.7604988813400269,0.9880049145591211,0.5460272431373596,23.865231537639378,131.37796308677238,303.10886,303.1423034667969,18.00000889590092,2061_2070,CAM_surf_loc,xgboost_old
6,7,0.7167867422103882,0.9893956204744927,0.5125845670700073,23.86685077561385,131.37823100227084,304.29996,304.3378601074219,18.000134278379573,2061_2070,CAM_surf_loc,xgboost_old
7,8,0.7123128175735474,0.9885354824283161,0.5071513652801514,23.864293905383438,131.3879061763918,304.04736,304.0512390136719,18.00010156054273,2061_2070,CAM_surf_loc,xgboost_old
8,9,0.743503749370575,0.9872367725380286,0.526701807975769,23.865265918822317,131.38317252449212,301.77435,301.7720642089844,18.0003450226233,2061_2070,CAM_surf_loc,xgboost_old
9,10,0.778343141078949,0.9908642183737588,0.5531646609306335,23.865466697557512,131.38001955421123,298.3874,298.3804016113281,17.99992700757009,2061_2070,CAM_surf_loc,xgboost_old
10,11,0.8132708072662354,0.9936745647254733,0.5747566819190979,23.864675855552175,131.38701747927504,294.6161,294.6319274902344,18.000146616392605,2061_2070,CAM_surf_loc,xgboost_old
11,12,0.8802786469459534,0.9947736595706013,0.5967174172401428,23.86421486266208,131.3826239881327,291.4363,291.4590759277344,17.999966729210254,2061_2070,CAM_surf_loc,xgboost_old
0,1,2.17388829546762,0.9752596670422579,1.6680473028195062,23.864050082247303,131.38944163884915,287.45444,287.50408374576017,18.000191078265306,2006_2015,CAM,LR
1,2,2.1189522805827723,0.9742944082331493,1.6474064118060727,23.86553375825392,131.38479379485656,289.0144,289.0757115387574,17.999836702794763,2006_2015,CAM,LR
2,3,2.025364198431551,0.9690633195191712,1.5819145190085075,23.86494359062589,131.39260483145634,292.12427,292.268166741758,17.99983992485562,2006_2015,CAM,LR
3,4,1.8701381882078807,0.9588896009733128,1.4611105716691462,23.864455680794578,131.38331360471076,295.45615,295.6814075048515,17.999929685615516,2006_2015,CAM,LR
4,5,1.7848780649215061,0.9414765054807384,1.3833709599671342,23.86554987161178,131.3837758598727,298.1175,298.19800326459233,17.99967328809741,2006_2015,CAM,LR
5,6,1.7590694319498599,0.9321778404703693,1.3368502334768586,23.865744573617672,131.38372930523704,300.02936,300.00387397165855,18.00015195874801,2006_2015,CAM,LR
6,7,1.7420051569647022,0.9308472672335322,1.311073736735161,23.86559690821293,131.38393198697676,301.08163,300.90095045340803,17.999607952660995,2006_2015,CAM,LR
7,8,1.7748378970055003,0.9227863502243615,1.3441652593312956,23.864304278428968,131.3922270179964,300.7833,300.50953579810147,17.999811094096916,2006_2015,CAM,LR
8,9,1.8139196723172983,0.925682928782917,1.382543547670912,23.86499427675829,131.38385555194708,298.6372,298.44703108787064,17.999982934973982,2006_2015,CAM,LR
9,10,1.906053438021849,0.9483217322611757,1.4623496917638659,23.864419571714787,131.38863995133747,295.40173,295.3537951533461,18.000163225326634,2006_2015,CAM,LR
10,11,2.0027568298088556,0.9642100462757536,1.5480418228395816,23.863986598906358,131.38583264395854,291.7552,291.83954233700507,18.000258809989262,2006_2015,CAM,LR
11,12,2.126385065502974,0.9723687273177746,1.6342862826942453,23.864371698393136,131.38675850868262,288.50873,288.5931082222708,18.000548601901766,2006_2015,CAM,LR
0,1,2.167868485108687,0.9753964964328737,1.6626578623661987,23.864050082247303,131.38944163884915,287.45444,287.5019479491682,18.000191078265306,2006_2015,CAM_loc,LR
1,2,2.112804016978367,0.9744433643636867,1.641623793362101,23.86553375825392,131.38479379485656,289.0144,289.0711089854179,17.999836702794763,2006_2015,CAM_loc,LR
2,3,2.021210407080579,0.9691900846134133,1.5772646948491766,23.86494359062589,131.39260483145634,292.12427,292.2629083246223,17.99983992485562,2006_2015,CAM_loc,LR
3,4,1.866089231010753,0.9590674210462206,1.457721446005887,23.864455680794578,131.38331360471076,295.45615,295.67545526937994,17.999929685615516,2006_2015,CAM_loc,LR
4,5,1.7805585806121378,0.9417594216509269,1.3824551655025665,23.86554987161178,131.3837758598727,298.1175,298.19246596845295,17.99967328809741,2006_2015,CAM_loc,LR
5,6,1.7521369666282576,0.9327113592556087,1.3363626791226146,23.865744573617672,131.38372930523704,300.02936,300.0016452246755,18.00015195874801,2006_2015,CAM_loc,LR
6,7,1.7298694758073012,0.9318074163062138,1.3085303495044118,23.86559690821293,131.38393198697676,301.08163,300.9028592524883,17.999607952660995,2006_2015,CAM_loc,LR
7,8,1.7598663032774633,0.9240835229366477,1.3407289140781016,23.864304278428968,131.3922270179964,300.7833,300.51484950609415,17.999811094096916,2006_2015,CAM_loc,LR
8,9,1.7970513042900222,0.9270587105510932,1.3772232109323888,23.86499427675829,131.38385555194708,298.6372,298.4531696765383,17.999982934973982,2006_2015,CAM_loc,LR
